GEOID,NAME_E,Estimate_Median_value
41001,Baker County Oregon,139500
41003,Benton County Oregon,76000
41005,Clackamas County Oregon,73600
41007,Clatsop County Oregon,117500
41009,Columbia County Oregon,176400
41011,Coos County Oregon,91800
41013,Crook County Oregon,145500
41015,Curry County Oregon,98900
41017,Deschutes County Oregon,114500
41019,Douglas County Oregon,89200
41021,Gilliam County Oregon,117900
41023,Grant County Oregon,78300
41025,Harney County Oregon,107100
41027,Hood River County Oregon,54600
41029,Jackson County Oregon,55300
41031,Jefferson County Oregon,162200
41033,Josephine County Oregon,170000
41035,Klamath County Oregon,80200
41037,Lake County Oregon,107100
41039,Lane County Oregon,64700
41041,Lincoln County Oregon,166600
41043,Linn County Oregon,154900
41045,Malheur County Oregon,45100
41047,Marion County Oregon,71600
41049,Morrow County Oregon,100100
41051,Multnomah County Oregon,37500
41053,Polk County Oregon,130700
41055,Sherman County Oregon,88800
41057,Tillamook County Oregon,160700
41059,Umatilla County Oregon,96200
41061,Union County Oregon,86000
41063,Wallowa County Oregon,139600
41065,Wasco County Oregon,133100
41067,Washington County Oregon,55700
41069,Wheeler County Oregon,138000
41071,Yamhill County Oregon,85300
